method,accuracy,balanced_accuracy,f1,sensitivity,specificity,TN,FP,FN,TP
erm(B) only,0.9607843137254902,0.9428571428571428,0.9393939393939394,0.8857142857142857,1.0,67,0,4,31
cfr(C) only,0.8921568627450981,0.8428571428571429,0.8135593220338984,0.6857142857142857,1.0,67,0,11,24
erm(B) OR cfr(C),0.9607843137254902,0.9428571428571428,0.9393939393939394,0.8857142857142857,1.0,67,0,4,31
Logistic regression OOF,0.9607843137254902,0.9428571428571428,0.9393939393939394,0.8857142857142857,1.0,67,0,4,31
